#,Building,Images,Height,Floors,Building type,Year,Status
1,Transmission Tower,,"1,042 ft",-,mast (wired),-,
239,The Four Ambassadors I,5,205 ft,18,high-rise building,1968,
240,800 Brickell Avenue,4,205 ft,18,high-rise building,1981,
241,Brickell Place C,4,205 ft,18,high-rise building,1975,
242,Bayfront Plaza,18,205 ft,18,high-rise building,1959,
243,Yacht Harbor Apartments,,205 ft,18,high-rise building,1975,
244,Brickell Key II,1,205 ft,18,high-rise building,1991,
245,Filling Station Lofts,3,193 ft,17,high-rise building,2014,
246,Terrazas Park Tower,5,193 ft,17,high-rise building,2009,
247,Overtown Transit Village North,13,193 ft,17,high-rise building,2006,
248,Riande Continental Bayside Hotel,13,,17,high-rise building,1926,
249,Santa Clara Apartments North,1,193 ft,17,high-rise building,-,
250,TM Alexander Apartments,1,193 ft,17,high-rise building,1984,
251,Stanley Axlrod UTD Towers,7,193 ft,17,high-rise building,1966,
252,Ward Towers,,193 ft,17,high-rise building,1976,
253,Civic Center Towers,1,193 ft,17,high-rise building,1982,
254,Grove Towers,,193 ft,17,high-rise building,1982,
255,City Crossings,,182 ft,16,high-rise building,2015,
256,West Brickell View Apartments,,182 ft,16,high-rise building,2014,
257,Oak Plaza,,182 ft,16,high-rise building,2012,
258,Mediterranea Condominiums,,182 ft,16,high-rise building,2006,
259,Blue Lagoon Condominiums IV,,182 ft,16,high-rise building,2003,
260,Blue Lagoon Condominiums III,,182 ft,16,high-rise building,2003,
261,Bayshore Place,3,182 ft,16,high-rise building,1973,
262,Altos de Miami,5,182 ft,16,high-rise building,2007,
263,Da Vinci at Coral Gables,1,182 ft,16,high-rise building,2002,
264,The Madison East,4,182 ft,16,high-rise building,1989,
265,Clarion Hotel & Suites,5,182 ft,16,high-rise building,1983,
266,Baltus House,,170 ft,15,high-rise building,2015,
267,Unika,1,170 ft,15,high-rise building,2015,
268,Vista Grande,,170 ft,15,high-rise building,2014,
269,Hampton Inn & Suites Miami/Brickell-Downtown,,170 ft,15,high-rise building,2011,
270,Jenny Tower,2,170 ft,15,high-rise building,2007,
271,The Aston on Coral Way,,170 ft,15,high-rise building,2003,
272,Summit Brickell Apartments I,2,170 ft,15,high-rise building,2002,
273,Palermo Lakes Apartments,,170 ft,15,high-rise building,2009,
274,Keystone Park Condominiums,,170 ft,15,high-rise building,2006,
275,Biscayne 21,3,170 ft,15,high-rise building,1964,
276,Cite on the Bay,3,170 ft,15,high-rise building,2004,
277,Blue Lagoon Centre Apartments,1,170 ft,15,high-rise building,1997,
278,Commodore Bay,4,170 ft,15,high-rise building,1994,
279,Miami-Dade County Administration Building,10,170 ft,15,high-rise building,2001,
280,Bay Point Office Tower,9,170 ft,15,high-rise building,1981,
281,Harry Cain Towers,5,170 ft,15,high-rise building,1984,
282,1401 Brickell Office Tower,4,170 ft,15,high-rise building,1973,
283,One Flagler,10,170 ft,15,high-rise building,1952,
284,The Coconut Grove Bayshore,,170 ft,15,high-rise building,1982,
285,Sofitel Hotel Miami Airport,2,170 ft,15,high-rise building,1986,
286,Grand Bay Office Plaza,,170 ft,15,high-rise building,-,
287,InTown Apartments West,,159 ft,14,high-rise building,2016,
288,InTown Apartments East,,159 ft,14,high-rise building,2016,
289,Brickell City Centre Green,,159 ft,14,high-rise building,2015,
290,Two Brickell City Centre,,159 ft,14,high-rise building,2015,
291,La Palma Apartments,,159 ft,14,high-rise building,2009,
292,Los Suenos de Brickell,1,159 ft,14,high-rise building,2007,
293,Midtown Lofts,3,159 ft,14,high-rise building,2006,
294,Douglas Place,2,159 ft,14,high-rise building,2005,
295,Gables View Apartments,1,159 ft,14,high-rise building,2004,
296,Villa Patricia II,,159 ft,14,high-rise building,-,
297,Lafayette Plaza,,159 ft,14,high-rise building,2007,
298,Havana Lofts,3,159 ft,14,high-rise building,2008,
299,Latin Q Tower,,159 ft,14,high-rise building,2012,
300,Department of Environmental Resources Management Main Building,14,159 ft,14,high-rise building,1924,
301,Miami River Park Apartments,8,159 ft,14,high-rise building,2001,
302,West Brickell Apartments,8,159 ft,14,high-rise building,1997,
303,Hunter Riverwalk Apartments,4,159 ft,14,high-rise building,1999,
304,Catalonia at Silver Bluff,1,159 ft,14,high-rise building,2007,
305,The Roads at 21st,,159 ft,14,high-rise building,2006,
306,22 Biscayne Bay,1,159 ft,14,high-rise building,2003,
307,Residential Plaza at Blue Lagoon,1,159 ft,14,high-rise building,1990,
308,Three Round Towers II,1,159 ft,14,high-rise building,-,
309,King High Towers II,,159 ft,14,high-rise building,-,
310,King High Towers I,,159 ft,14,high-rise building,-,
311,"Jackson Memorial Medical Center, West Wing",,159 ft,14,high-rise building,-,
312,Coral Plaza Condominiums,,159 ft,14,high-rise building,2002,
313,San Augustin Villas,1,159 ft,14,high-rise building,1987,
314,Buena Vista Apartments,1,159 ft,14,high-rise building,1991,
315,InterAmerican Plaza,1,159 ft,14,high-rise building,-,
316,Pinnacle View,2,159 ft,14,high-rise building,2001,
317,150 Americas Center,5,159 ft,14,high-rise building,1967,
318,The Brickell Biscayne,2,159 ft,14,high-rise building,1969,
319,The Brickell Bay Tower,3,159 ft,14,high-rise building,1964,
320,Hilton Miami Airport & Towers,1,159 ft,14,high-rise building,1983,
321,The Beacon Apartments,,148 ft,13,high-rise building,2011,
322,Seybold Pointe Condominium,1,148 ft,13,high-rise building,2005,
323,Picasso Tower,3,148 ft,13,high-rise building,1986,
324,Smathers Plaza,1,148 ft,13,high-rise building,1967,
325,Pinnacle Heights,,148 ft,13,high-rise building,2018,
326,Esmeralda Bay Apartments,,148 ft,13,high-rise building,2012,
327,Joe Moretti Apartments,,148 ft,13,high-rise building,-,
328,Grove Station Tower,,148 ft,13,high-rise building,2015,
329,Icon Brickell Garage Building,,,13,open-air structure,-,
330,Ivax Corporation Building,8,148 ft,13,high-rise building,1985,
331,Brickell View West,1,148 ft,13,high-rise building,2007,
332,Tuscan Place,1,148 ft,13,high-rise building,2005,
333,Tuscan View,1,148 ft,13,high-rise building,2006,
334,Rayos Del Sol,1,148 ft,13,high-rise building,2003,
335,Clipper Condominium,1,148 ft,13,high-rise building,1965,
336,Point View Condominiums,2,148 ft,13,high-rise building,1961,
337,University of Miami Clinical Research Building Parking Facility,,,13,open-air structure,2006,
338,Three Round Towers III,1,148 ft,13,high-rise building,-,
339,Three Round Towers I,1,148 ft,13,high-rise building,-,
340,Haley Sofge Towers II,1,148 ft,13,high-rise building,1973,
341,Park Towers Apartments,1,148 ft,13,high-rise building,1967,
342,Courtyard Miami Downtown,7,148 ft,13,high-rise building,2002,
343,Bay Park Towers,,148 ft,13,high-rise building,1961,
344,Concord Building,5,148 ft,13,high-rise building,1964,
345,Courthouse Plaza,3,148 ft,13,high-rise building,1968,
346,Ingraham Building,10,,13,high-rise building,1926,
347,Casa Grande I Towers,,148 ft,13,high-rise building,1999,
348,Gables Terrace Condominiums,2,148 ft,13,high-rise building,1995,
349,SunTrust Building,9,148 ft,13,high-rise building,1980,
350,3 MiamiCentral,,136 ft,12,high-rise building,2018,
351,Le Parc at Brickell,,136 ft,12,high-rise building,2015,
352,Atton Brickell Hotel,,136 ft,12,high-rise building,2016,
353,25 Mirage,,136 ft,12,high-rise building,2014,
354,Barcelona Condominiums,,136 ft,12,high-rise building,2006,
355,Moon Bay Miami,1,136 ft,12,high-rise building,2007,
356,Uptown Lofts,,136 ft,12,high-rise building,2005,
357,Blue Lagoon Condominiums I,,136 ft,12,high-rise building,2004,
358,Blue Lagoon Condominiums II,,136 ft,12,high-rise building,2004,
359,The Mutiny,,136 ft,12,high-rise building,1998,
360,Gables Sunview,,136 ft,12,high-rise building,2009,
361,St Martin&#039;s Place Apartments,,136 ft,12,high-rise building,2016,
362,Gables 37 Grand Apartments,,136 ft,12,high-rise building,2015,
363,Second Plaza,,136 ft,12,high-rise building,2011,
364,Stadium Tower,,136 ft,12,high-rise building,2011,
365,Villa Aurora,,136 ft,12,high-rise building,2009,
366,Villa Patricia,,136 ft,12,high-rise building,-,
367,Brickell Station Villas,4,136 ft,12,high-rise building,2009,
368,University of Miami Hospital,1,136 ft,12,high-rise building,-,
369,25-27 West Flagler Street,4,136 ft,12,high-rise building,1955,
370,999 Brickell Avenue,8,136 ft,12,high-rise building,1973,
371,Grove Harbour Condominiums,1,136 ft,12,high-rise building,1990,
372,Jack Orr Plaza,1,136 ft,12,high-rise building,1975,
373,Haley Sofge Towers I,1,136 ft,12,high-rise building,1973,
374,Richard E. Gerstein Justice Building,,136 ft,12,high-rise building,-,
375,Claude Pepper Tower,,136 ft,12,high-rise building,1970,
376,INS Building,4,136 ft,12,high-rise building,1962,
377,Mildred & Claude Pepper Towers,,136 ft,12,high-rise building,1980,
378,VA Medical Center Miami,1,136 ft,12,high-rise building,1968,
379,155 South Miami Avenue,9,136 ft,12,high-rise building,1980,
380,200 South East First Building,5,136 ft,12,high-rise building,1958,
381,Brickell 25,1,136 ft,12,high-rise building,1970,
382,848 Brickell Avenue,5,136 ft,12,high-rise building,1981,
383,1000 Brickell Avenue,1,136 ft,12,high-rise building,1968,
384,The Brickell Park,4,136 ft,12,high-rise building,1981,
385,Huntington Building,8,,12,high-rise building,1926,
386,Bayside Office Center,,,12,high-rise building,1925,
387,Sheraton Miami Mart Hotel,,136 ft,12,high-rise building,1984,
388,Federal Justice Building,5,136 ft,12,high-rise building,1993,
389,Courvoisier Center II,3,136 ft,12,high-rise building,1990,
