#,Building,Images,Height,Floors,Building type,Year
175,225 West Wacker,11,433 ft,28,skyscraper,1989
176,Shirley Ryan AbilityLab,,431 ft,27,skyscraper,2016
177,1130 South Michigan,17,431 ft,43,skyscraper,1967
178,McClurg Court Center B,1,430 ft,46,skyscraper,1971
179,McClurg Court Center A,2,430 ft,46,skyscraper,1971
180,1555 North Astor,3,428 ft,47,skyscraper,1975
181,SBC Building,2,427 ft,31,skyscraper,1965
182,FIve One Five North State,17,427 ft,30,skyscraper,1990
183,Eugenie Square,5,426 ft,42,skyscraper,1972
184,Fairmont Hotel,22,426 ft,37,skyscraper,1987
185,Sky55,298,425 ft,40,skyscraper,2006
186,2020 North Lincoln Park West,6,421 ft,39,skyscraper,1971
187,Skybridge,238,421 ft,39,skyscraper,2003
188,The Gallery on Wells,,418 ft,39,skyscraper,2018
189,Alta at K Station,13,417 ft,41,skyscraper,2010
190,2 East Erie,13,415 ft,39,skyscraper,2002
191,Hartford Plaza South,3,415 ft,33,skyscraper,1971
192,Northern Trust Building,1,415 ft,31,skyscraper,1974
193,Ten East Delaware,56,415 ft,35,skyscraper,2010
194,Joffrey Tower,254,411 ft,32,skyscraper,2008
195,State & Chestnut,,410 ft,36,skyscraper,2015
196,1100 North Lake Shore Drive,2,410 ft,40,skyscraper,1979
197,180 North LaSalle,6,410 ft,39,skyscraper,1972
198,Museum Tower,203,409 ft,38,skyscraper,2006
199,Malibu East,2,408 ft,45,skyscraper,1970
200,200 West Adams,1,407 ft,30,skyscraper,1985
201,Two First National Plaza,3,407 ft,30,skyscraper,1973
202,Lake Shore Plaza,3,405 ft,38,skyscraper,1986
203,1300 North Lake Shore Drive,3,404 ft,40,skyscraper,1965
204,Time-Life Building,7,404 ft,30,skyscraper,1969
205,The Montgomery,10,404 ft,28,skyscraper,1972
206,Galter Pavilion,6,403 ft,22,skyscraper,1997
207,420 East Ohio,3,400 ft,41,skyscraper,1990
208,The Marquee at Block 37,,400 ft,38,skyscraper,2016
209,Buckingham Plaza,13,400 ft,44,skyscraper,1982
210,Millennium Park Plaza,4,400 ft,40,skyscraper,1982
211,777 North Michigan,2,400 ft,38,skyscraper,1964
212,Avondale Center,1,400 ft,36,skyscraper,1980
213,River View II,117,399 ft,32,skyscraper,2004
214,James House,5,398 ft,43,skyscraper,1971
215,Cityfront Place,7,396 ft,40,skyscraper,1991
216,333 North Michigan,7,396 ft,34,skyscraper,1928
217,Metcalfe Federal Building,3,396 ft,27,skyscraper,1991
218,The Pearson,65,395 ft,35,skyscraper,2003
219,Walton Colonnade,7,395 ft,44,skyscraper,1972
220,The Plaza on Dewitt,5,395 ft,43,skyscraper,1966
221,1110 North Lake Shore Drive,4,394 ft,40,skyscraper,1970
222,Avenue Hotel,6,393 ft,40,skyscraper,1973
223,150 North Wacker,8,393 ft,30,skyscraper,1970
224,Marmon Building,2,393 ft,28,skyscraper,1987
225,East Point,4,391 ft,43,skyscraper,1967
226,Northwestern Outpatient Care Pavilion,,390 ft,24,skyscraper,2014
227,The Chandler,215,389 ft,36,skyscraper,2008
228,The Lex,124,388 ft,35,skyscraper,2010
229,The Carlyle,5,388 ft,40,skyscraper,1967
230,Wells Street Tower,25,388 ft,34,skyscraper,2002
231,Forty-One East Eighth,57,387 ft,33,skyscraper,2003
232,The Fairbanks at Cityfront Plaza,216,387 ft,31,skyscraper,2008
233,The Elm at Clark,3,385 ft,37,skyscraper,1989
234,Hotel 71,7,385 ft,36,skyscraper,1960
235,2626 North Lakeview,3,384 ft,44,skyscraper,1970
236,2650 North Lakeview,3,384 ft,44,skyscraper,1973
237,Dirksen Federal Building,4,383 ft,30,skyscraper,1964
238,505 North State,58,380 ft,36,skyscraper,2010
239,Aurélien,,380 ft,33,skyscraper,2017
240,Cirrus at K Station,25,378 ft,37,skyscraper,2010
241,400 East Randolph,30,378 ft,40,skyscraper,1963
242,1700 East 56th Street,9,376 ft,38,skyscraper,1968
243,1400 Museum Park,119,375 ft,34,skyscraper,2008
244,Two Illinois Center,6,375 ft,32,skyscraper,1972
245,33 West Monroe,6,375 ft,29,skyscraper,1980
246,633 North St. Clair,3,375 ft,27,skyscraper,1991
247,Astoria Tower,65,374 ft,30,skyscraper,2009
248,2800 North Lake Shore Drive,3,372 ft,43,skyscraper,1968
249,The Hallmark,2,372 ft,38,skyscraper,1990
250,303 West Madison,7,372 ft,26,skyscraper,1988
251,1720 South Michigan,169,368 ft,32,skyscraper,2008
252,K2 at K Station,1,367 ft,34,skyscraper,2013
253,Hawthorne House,2,367 ft,42,skyscraper,1966
254,1111 South Wabash,108,367 ft,34,skyscraper,2004
255,One East Delaware,3,366 ft,36,skyscraper,1989
256,Left Bank at K Station,126,366 ft,36,skyscraper,2006
257,Kinzie Park Tower,11,365 ft,34,skyscraper,2001
258,Hyatt Regency Chicago I,2,365 ft,33,skyscraper,1974
259,Arkadia,,365 ft,33,skyscraper,2015
260,Echelon at K Station,62,363 ft,36,skyscraper,2008
261,The Chicagoan,4,362 ft,37,skyscraper,1990
262,One Illinois Center,3,362 ft,30,skyscraper,1970
263,Edgewater Plaza North,1,361 ft,38,skyscraper,1968
264,Walton on the Park,26,360 ft,39,skyscraper,2010
265,2 East Oak,3,360 ft,39,skyscraper,1967
266,Chestnut Tower,6,360 ft,36,skyscraper,2000
267,The Allerton Hotel Chicago,14,360 ft,25,skyscraper,1924
268,Regents Park South,8,357 ft,37,skyscraper,1972
269,1600 Museum Park,108,357 ft,32,skyscraper,2009
270,Exhibit on Superior,,357 ft,34,skyscraper,2017
271,230 West Monroe,2,353 ft,29,skyscraper,1971
272,Eight O Five,,353 ft,33,skyscraper,2015
273,Florsheim Tower,4,352 ft,30,skyscraper,1984
274,Malibu Condominiums,4,350 ft,39,skyscraper,1969
275,Three Illinois Center,9,350 ft,28,skyscraper,1979
276,625 North Michigan,3,350 ft,27,skyscraper,1971
277,33 North Dearborn,2,348 ft,25,skyscraper,1966
278,Linea,,348 ft,33,skyscraper,2017
279,Park Alexandria,80,347 ft,32,skyscraper,2003
280,Sofitel Chicago Water Tower,65,347 ft,33,skyscraper,2002
281,Hyatt Regency Chicago II,5,347 ft,33,skyscraper,1980
282,Drake Tower,3,347 ft,30,skyscraper,1929
283,Edgewater Plaza South,3,346 ft,38,skyscraper,1971
284,NEXT Apartments,,345 ft,31,skyscraper,2016
285,Hyatt Regency McCormick Place I,7,344 ft,33,skyscraper,1998
286,Builders Building,4,342 ft,26,skyscraper,1986
287,Regents Park North,7,342 ft,36,skyscraper,1974
288,Chicago Hilton & Towers,26,340 ft,29,skyscraper,1927
289,Merchandise Mart,35,340 ft,25,skyscraper,1930
290,3150 North Lake Shore Drive,1,339 ft,38,skyscraper,1963
291,1550 North Lake Shore Drive,3,338 ft,34,skyscraper,1960
292,University Hall,4,338 ft,28,skyscraper,1965
293,200 East Delaware,3,336 ft,36,skyscraper,1972
294,Century Tower,17,336 ft,28,skyscraper,1930
295,Loop Transportation Center,1,336 ft,27,skyscraper,1985
296,4 East Elm,,335 ft,26,skyscraper,2016
297,1440 North Lake Shore Drive,6,335 ft,34,skyscraper,1962
298,Elm Street Plaza,1,335 ft,33,skyscraper,1974
299,Michigan Plaza North,5,335 ft,25,skyscraper,1981
300,990 North Lake Shore Drive,7,335 ft,33,skyscraper,1973
301,Transunion Building,3,334 ft,24,skyscraper,1961
302,1212 North Lake Shore Drive,5,333 ft,36,skyscraper,1969
303,2500 North Lakeview,7,333 ft,35,skyscraper,1974
304,CNA Plaza North,5,333 ft,24,skyscraper,1962
305,676 North St. Clair,2,333 ft,25,skyscraper,1979
306,Inland Steel Building,9,332 ft,19,skyscraper,1958
307,Concord City Centre,,332 ft,23,skyscraper,1927
308,Gold Coast Galleria,4,331 ft,32,skyscraper,1991
309,Sheraton Chicago Hotel & Towers,29,331 ft,31,skyscraper,1992
310,525 West Monroe,4,330 ft,26,skyscraper,1983
311,ADA Building,7,330 ft,23,skyscraper,1965
312,Museum Park Place 2,33,330 ft,32,skyscraper,2009
313,The Admiral at the Lake,4,329 ft,31,skyscraper,2012
314,840 North Lake Shore Drive,96,329 ft,27,skyscraper,2004
315,1240 North Lake Shore Drive,5,328 ft,32,high-rise building,1976
316,Lake-Michigan Building,4,328 ft,23,high-rise building,1927
317,530 North Lake Shore Drive,87,328 ft,29,high-rise building,2003
318,The Breakers at Edgewater Beach,6,325 ft,33,high-rise building,1987
319,500 North Michigan,2,325 ft,24,high-rise building,1968
320,101 North Wacker,3,325 ft,23,high-rise building,1980
321,Vetro,102,324 ft,31,high-rise building,2008
322,The Lancaster,87,324 ft,30,high-rise building,2005
323,Harris Bank Addition I,1,322 ft,23,high-rise building,1960
324,Americana Towers,3,322 ft,34,high-rise building,1970
325,Park Michigan Apartments,8,322 ft,30,high-rise building,1982
326,River View I,16,322 ft,27,high-rise building,2000
327,1133 North Dearborn,1,321 ft,33,high-rise building,1988
328,The Parker Fulton Market,,321 ft,29,high-rise building,2016
329,Westin Michigan Avenue,1,320 ft,27,high-rise building,1972
330,Gateway Center IV,6,320 ft,22,high-rise building,1983
331,1 North Dearborn,2,320 ft,17,high-rise building,1905
332,LondonHouse Addition,3,320 ft,21,high-rise building,2016
333,LondonHouse,23,318 ft,22,high-rise building,1923
334,Courtyard Chicago Magnificent Mile,73,317 ft,23,high-rise building,2003
335,100 Bellevue Place,2,316 ft,31,high-rise building,1971
336,2 North LaSalle,2,316 ft,26,high-rise building,1979
337,Prentice Women's Hospital,185,316 ft,18,high-rise building,2007
338,100 West Chestnut,7,315 ft,30,high-rise building,1983
339,1000 South Clark,,315 ft,29,high-rise building,2016
340,Michigan Avenue Tower 1,112,314 ft,29,high-rise building,2005
341,Michigan Avenue Tower 2,69,314 ft,28,high-rise building,2008
342,Burnham Pointe,59,314 ft,28,high-rise building,2008
343,550 St. Clair,117,312 ft,26,high-rise building,2008
344,theWit Hotel,33,311 ft,26,high-rise building,2009
345,Insurance Exchange Building,8,310 ft,21,high-rise building,1928
346,The Caravel,57,309 ft,29,high-rise building,2003
347,EnV,75,308 ft,28,high-rise building,2010
348,Superior 110,86,308 ft,26,high-rise building,2009
349,Thompson Center,25,308 ft,17,high-rise building,1985
350,Landmark West Loop,,308 ft,31,high-rise building,2017
351,Socony-Vacuum Building,3,306 ft,27,high-rise building,1930
352,SoNo West,92,306 ft,27,high-rise building,2009
353,Bank of America Building,4,305 ft,20,high-rise building,1924
354,Riverside Plaza,3,302 ft,26,high-rise building,1929
355,Kingsbury on the Park,89,301 ft,25,high-rise building,2004
356,Asbury Plaza,4,300 ft,33,high-rise building,1981
357,Burnham Center,6,300 ft,22,high-rise building,1915
358,Virgin Hotel Chicago,5,300 ft,25,high-rise building,1928
359,Oriental Theater Building,4,300 ft,23,high-rise building,1926
360,Astor Tower,7,299 ft,25,high-rise building,1962
361,W Hotel Chicago Lakeshore,7,298 ft,33,high-rise building,1964
362,Union League Club,2,298 ft,22,high-rise building,1926
363,River North Marriott Suites,98,298 ft,27,high-rise building,2008
364,Feinberg Pavilion,6,297 ft,17,high-rise building,1997
365,Hotel InterContinental Addition,1,295 ft,25,high-rise building,1961
366,1122 North Dearborn,2,295 ft,27,high-rise building,1999
367,345 West Fullerton II,1,295 ft,30,high-rise building,1972
368,Michigan Terrace Condominiums,5,295 ft,33,high-rise building,1963
369,Noble Square Co-op,2,295 ft,28,high-rise building,1969
370,North American Building,4,295 ft,19,high-rise building,1912
371,100 West Monroe,3,294 ft,22,high-rise building,1927
372,Wrigley Building North Addition,3,294 ft,18,high-rise building,1924
373,Marquee Michigan Avenue,94,292 ft,26,high-rise building,2008
374,Erie on the Park,61,292 ft,24,high-rise building,2002
375,Consumers Building,4,291 ft,21,high-rise building,1913
376,Avenue East,133,291 ft,26,high-rise building,2007
377,1500 North Lake Shore Drive,3,290 ft,23,high-rise building,1931
378,The Blackstone,7,290 ft,21,high-rise building,1910
379,St. Michael Church,,290 ft,-,church,1873
380,30 West Oak,164,290 ft,22,high-rise building,2007
381,MDA City Apartments,5,290 ft,24,high-rise building,1927
382,Astor House,3,289 ft,30,high-rise building,1969
383,Metropolitan Correctional Center,11,289 ft,27,high-rise building,1975
384,Museum Pointe,108,289 ft,26,high-rise building,2005
385,Flair Tower,27,289 ft,26,high-rise building,2010
386,5000 East End Building,7,288 ft,28,high-rise building,1928
387,Garland Building,1,287 ft,22,high-rise building,1922
388,JW Marriott Chicago,1,287 ft,21,high-rise building,1914
389,Loop Center Building,1,287 ft,22,high-rise building,1929
390,3600 North Lake Shore Drive I,1,286 ft,28,high-rise building,1959
391,3600 North Lake Shore Drive II,2,286 ft,28,high-rise building,1959
392,2144 North Lincoln Park West,5,286 ft,26,high-rise building,1971
393,Dearborn Tower,8,286 ft,17,high-rise building,1920
394,The Grand on Grand,93,286 ft,28,high-rise building,2004
395,345 West Fullerton I,3,286 ft,30,high-rise building,1972
396,Ritchie Tower,3,286 ft,29,high-rise building,1964
397,Lincoln Park Tower,6,285 ft,30,high-rise building,1967
398,CDW Plaza,,285 ft,21,high-rise building,1967
399,Gateway Center I,1,285 ft,21,high-rise building,1965
400,Harris Bank Building,3,285 ft,20,high-rise building,1911
401,525 Hawthorne,3,285 ft,31,high-rise building,1969
402,Embassy Suites Lakefront Hotel,12,284 ft,19,high-rise building,2001
403,Long Grove House,3,284 ft,30,high-rise building,1969
404,Faulkner House,8,284 ft,30,high-rise building,1967
405,Harbor House,1,283 ft,29,high-rise building,1967
406,Baumhart Hall,103,282 ft,26,high-rise building,2006
407,6 North Michigan,5,282 ft,22,high-rise building,1899
408,MileNorth Chicago,3,282 ft,28,high-rise building,1966
409,Madison Square Building,1,281 ft,22,high-rise building,1913
410,3Eleven,,281 ft,25,high-rise building,2018
411,180 North Jefferson,72,280 ft,28,high-rise building,2004
412,200 West Monroe,2,280 ft,23,high-rise building,1973
413,SixForty,,280 ft,22,high-rise building,2017
414,Museum Park Tower 1,36,280 ft,20,high-rise building,2002
415,2400 North Lakeview,8,278 ft,30,high-rise building,1963
416,Lake Park Plaza,4,278 ft,30,high-rise building,1969
417,Imperial Towers North,2,277 ft,29,high-rise building,1962
418,Imperial Towers South,2,277 ft,29,high-rise building,1962
419,Cornell Village,5,276 ft,27,high-rise building,1968
420,River Place on the Park,111,276 ft,21,high-rise building,2006
421,550 West Jackson,5,276 ft,18,high-rise building,1961
422,CBS 2 Broadcast Center,83,276 ft,17,high-rise building,2008
423,Chicago Board of Trade Addition,4,275 ft,23,high-rise building,1983
424,Fisher Building,16,275 ft,20,high-rise building,1906
425,Loyola University Tower,4,275 ft,16,high-rise building,1994
426,Michael A. Bilandic Building,4,275 ft,21,high-rise building,1920
427,Chicago Athletic Association Annex,4,274 ft,20,high-rise building,1906
428,"The Newport, North Tower",5,274 ft,27,high-rise building,1963
429,"The Newport, South Tower",3,274 ft,27,high-rise building,1963
430,Borg-Warner Building,4,274 ft,22,high-rise building,1958
431,230 East Ontario,4,273 ft,28,high-rise building,1968
432,State Place Tower,85,273 ft,24,high-rise building,2005
433,Dana Hotel and Spa,45,273 ft,26,high-rise building,2008
434,Granville Beach Condominium,1,272 ft,29,high-rise building,1970
435,630 North State Parkway,6,272 ft,27,high-rise building,2001
436,The Bernardin,86,272 ft,27,high-rise building,2005
437,Prairie Pointe,199,271 ft,24,high-rise building,2006
438,Admiral's Pointe,8,271 ft,27,high-rise building,2002
439,757 North Orleans,49,271 ft,22,high-rise building,2008
440,Chestnut Place Apartments,10,270 ft,30,high-rise building,1982
441,Hollywood Towers North,3,270 ft,29,high-rise building,1962
442,Hollywood Towers South,2,270 ft,29,high-rise building,1962
443,Dearborn Park High Rise 1,3,270 ft,27,high-rise building,1980
444,880 Lake Shore Drive,4,270 ft,26,high-rise building,1951
445,860 Lake Shore Drive,9,270 ft,26,high-rise building,1951
446,3470 North Lake Shore Drive,2,270 ft,25,high-rise building,1967
447,Michigan Boulevard Building,2,270 ft,21,high-rise building,1914
448,The Powhatan,48,270 ft,22,high-rise building,1929
449,Grand Ohio Condominiums,2,268 ft,26,high-rise building,1984
450,Jefferson Tower,129,266 ft,24,high-rise building,2006
451,Lytton Store Building,4,266 ft,19,high-rise building,1913
452,Kinzie Station Tower,9,265 ft,25,high-rise building,2000
453,People's Gas Building,7,265 ft,20,high-rise building,1911
454,Erie Centre,2,264 ft,23,high-rise building,1999
455,Rehabilitation Institute of Chicago,3,264 ft,19,high-rise building,1973
456,1401 South State,67,264 ft,22,high-rise building,2008
457,Gill Park Cooperative,1,263 ft,27,high-rise building,1969
458,550 West Adams,114,262 ft,19,high-rise building,2006
459,Palmer House Hotel,7,262 ft,25,high-rise building,1927
460,Victor Lawson YMCA,5,262 ft,24,high-rise building,1931
461,The Hermitage on Huron,6,262 ft,26,high-rise building,1985
462,Prairie District Tower,70,261 ft,23,high-rise building,2003
463,Dearborn Plaza,6,261 ft,17,high-rise building,2000
464,The Lofts at Museum Park II,138,261 ft,21,high-rise building,2006
465,Cummings House,3,261 ft,28,high-rise building,1963
466,Dickinson House,4,261 ft,28,high-rise building,1963
467,Alcott House,2,261 ft,28,high-rise building,1963
468,Bryant House,8,261 ft,28,high-rise building,1963
469,Eliot House,5,261 ft,28,high-rise building,1965
470,Quaker Plaza,22,261 ft,17,high-rise building,2002
471,Esplanade Apartments I,5,260 ft,29,high-rise building,1956
472,Esplanade Apartments II,5,260 ft,29,high-rise building,1956
473,DoubleTree Hotel Chicago Magnificent Mile,2,260 ft,27,high-rise building,1976
474,O'Hare Air Traffic Control Tower,1,260 ft,-,airport tower,1995
475,Hemingway House,5,260 ft,29,high-rise building,1968
